Study_ID,Domain,Specific_Target,Study_Design,Publication_Year,Country,Robot_Type,Robot_Platform,Robot_controler,Controler_model,Autonomy_Level_rbt,Autonomy_Level_img,Navigation_system,Img_Sensor_used,Imaging_Type,Imaging_Sensor_Brand,Imaging_Sensor_Model,Number_of_Sensors,Resolution_px,Resolution_MP,Data_Volume_GB,Labeling_Method,Annotation_Tools,Dataset_Availability,Processing_Techniques,AI_Driven_Technology,Model/Network,Agricultural_Task,F1_score_%,N_eval
STDY_005,Plant,Fruit trees,Field Trial,2025,China,Hybrid,DJI Phantom 4 RTK,Laptop,,Fully-autonomous,Fully-autonomous,GNSS/RTK,RGB camera,RGB camera,DJI,,3,1600 x 1300,2.1,,manual,,Private,,Deep Learning,LSK-GD Based on YOLOv8,Orchard Management,94.8,2590
STDY_009,Plant,Apple,Field Trial,2024,USA,UGV,Husky A200,ROS,,Semi-autonomous,Fully-autonomous,GPS-RTK,RGB-D camera,RGB camera,Stereolabs,ZED2,2,2208 x 1242,2.74,,manual,makesense,Upon Request,Data augmentation,Computer Vision,Mask R-CNN,Precision chemical blossom thinning,92.5,2000
STDY_015,Plant,Soybean,Field Trial,2025,South Korea,Hybrid,,,,Fully-autonomous,Fully-autonomous,LIDAR,"	
RealSense",Mult. Camera,Intel,D405,5,,,,manual,,,Sensor fusion,Deep Learning,YOLOv11,Pest management,71,300
STDY_024,Plant,Sugar beet,Field Trial,2017,Switzerland,UAV,DJI Mavic,Nvidia Jetson,TX2,Semi-autonomous,Semi-autonomous,GPS,Mult. camera,Mult. Camera,Parrot,"	Parrot Sequoia",2,4000 x 3000,12,,manual,Matlab,Public,,Deep Learning,,Weed detection,80,465
STDY_029,Plant,Maize,Field Trial,2024,China,UAV,DJI Mavic 3 Pro,,,Semi-autonomous,Semi-autonomous,,RGB camera,RGB camera,Hasselblad camera,Hasselblad camera,1,5120 x 2700,13.82,,manual,LabelImg,Upon Request,,Deep Learning,YOLOv8,,82.8,1050
STDY_030,Plant,Carrot,Field Trial,2015,Germany,UGV,Bonirob,,,Fully-autonomous,Fully-autonomous,,Mult. camera,Mult. Camera,JAI camera,JAI AD-130GE,1,1296 x 966,1.25,,manual,,Public,,Machine Learning,Random Forest,Crop and weed discrimination,80.2,494
STDY_031,Livestock,Pigs,Field Trial,2024,China,UGV,Inspection robot,Industrial PC,,Semi-autonomous,Fully-autonomous,Magnetic sensor,Thermal camera,Thermal imagery,FLIR Systems Inc.,FLIR A300 9 Hz,1,320 x 240,0.07,11.6,manual,LabelImg,Public,Detection,Deep Learning,YOLOv9m,Pig state monitoring,93,69567
STDY_036,Livestock,Cattle,Field Trial,2023,Indonesia,UAV,,Ground Control Station,,Semi-autonomous,Fully-autonomous,,RGB camera,RGB camera,,,1,,,,fully autonomous,Roboflow,Private,,Deep Learning,YOLOv5,Cattle detection and counting,93.3,3967
STDY_038,Livestock,Cattle,Field Trial,2020,Japan,UAV,DJI Phantom 4,DJI GO 4 mobile app,,Fully-autonomous,Fully-autonomous,,DJI P4 camera,RGB camera,DJI,,1,4000 x 3000 ,12,,manual,,Public,,Deep Learning,YOLOv2,Cattle monitoring,95.2,1948
STDY_045,Livestock,Cattle,Field Trial,2024,USA,UAV,DJI Mavic-3T,DJI flight controller,,Semi-autonomous,Fully-autonomous,GPS,RGB camera,RGB camera,DJI,Zenmuse XT,1,,,,manual,Roboflow,Private,,Deep Learning,Mask R-CNN,Heat stress monitoring,89,344
STDY_047,Plant,Tea,Field Trial,2023,China,UAV,DJI Mavic Air 2,,,Semi-autonomous,Fully-autonomous,GPS,RGB camera,RGB camera,DJI,DJI FC3170,2,8000 x 6000,48,,manual,LabelImg,Upon Request,Data augmentation,Deep Learning,DDMA-YOLO,Disease monitoring and detection,71.6,355
STDY_054,Plant,Sugar beet,Field Trial,2017,Germany,UAV,,,,Fully-autonomous,Fully-autonomous,,Mult. camera,Mult. Camera,JAI camera,,1,,,,manual,,Private,Blob-wise Segmentation,Deep Learning,CNN,Crop and weed classification,97.4,36140
STDY_059,Plant,lettuce,Field Trial,2020,Colombia,UAV,DJI Mavic Pro,Automatic flight plan,,Fully-autonomous,Fully-autonomous,,Mult. camera,Mult. Camera,Parrot,Parrot Sequoia,1,1280 x 960,1.22,,manual,,Private,Classical image processing methods ,Machine Learning,HOG-SVM,Weed detection,88,913
STDY_063,Plant,buffalobur,Field Trial,2021,China,UAV,DJI Mavic Air,,,Semi-autonomous,Semi-autonomous,GPS,RGB camera,RGB camera,DJI,FC2103 camera,2,4052 x 3040,12,,manual,LabelMe,Private,Image expansion and cropping,Deep Learning,DeepSolanum-Net,Weed detection,90.1,2600
STDY_064,Plant,Rice,Field Trial,2022,India,UAV,DJI Phantom 4 Pro,Pix4DCapture,on an iPad,Semi-autonomous,Fully-autonomous,GPS,,,,Integrated camera,2,,,,semi autonomous,ArcGIS,Private,Image alignment,Deep Learning,CD-CNN,Crop identification,96.1,10000
STDY_066,Plant,Corn,Field Trial,2022,USA,UAV,DJI Phantom 4 Pro,Jetson,TX2,,,,RGB camera,RGB camera,DJI,FC6310 camera,2,5472 x 3648,20,,manual,Roboflow,Private,Data augmentation,Deep Learning,YOLOv5,Object detection,93,2950
STDY_067,Livestock,Rumex obtusifolius,Field Trial,2021,Germany,UAV,DJI Phantom 3 Pro,Pix4DCapture,,Semi-autonomous,Fully-autonomous,Integrated GNSS receiver,RGB camera,RGB camera,DJI,Integrated camera,2,4000 x 3000,12,12,semi autonomous,QGIS,Private,Photogrammetry,Deep Learning,Custom-trained VGG16,Weed detection,78.6,4200
STDY_069,Plant,Pineaple,Field Trial,2023,China,UAV,DJI Mavic 2,,,Semi-autonomous,Fully-autonomous,,,,,Integrated camera,1,5472 x 3648,20,,manual,LabelMe,Upon Request,Transfer learning,Deep Learning,PSPNet,Weed detection,87.7,1152
STDY_076,Plant,Wheat,Hybrid,2023,Turkey,UAV,,,,,Semi-autonomous,,Digital camera,RGB camera,,,1,5472 x 3648,20,,manual,LabelImg,Upon Request,Data augmentation,Deep Learning,YOLOv5,Weed detection,80,3731
STDY_079,Plant,Sorghum,Field Trial,2022,Germany,UAV,DJI Mavic 2 Pro,,,Fully-autonomous,Fully-autonomous,,RGB camera,RGB camera,Hasselblad camera,L1D-20C,1,5472 x 3648,20,,manual,GIMP,Public,Data Augmentation,Deep Learning,U-Net,Weed detection,89.3,6490
STDY_080,Plant,Soybean,Field Trial,2020,USA,UAV,DJI Matrice 600 Pro,DJI Ground Station Pro,,Semi-autonomous,Fully-autonomous,,RGB camera,RGB camera,DJI,Zenmuse X5R,1,4608 x 3456,16,,manual,LabelImg,Private,Data Augmentation,Deep Learning,Faster R-CNN,Weed detection,66,450
